date,ticker,open,high,low,close,volume
1896-05-27,DJI,29.39,29.39,29.39,29.39,0
1896-05-28,DJI,29.11,29.11,29.11,29.11,0
1896-05-29,DJI,29.43,29.43,29.43,29.43,0
1896-06-01,DJI,29.4,29.4,29.4,29.4,0
1896-06-02,DJI,29.0,29.0,29.0,29.0,0
1896-06-03,DJI,28.8,28.8,28.8,28.8,0
1896-06-04,DJI,28.93,28.93,28.93,28.93,0
1896-06-05,DJI,29.2,29.2,29.2,29.2,0
1896-06-08,DJI,28.83,28.83,28.83,28.83,0
1896-06-09,DJI,28.49,28.49,28.49,28.49,0
1896-06-10,DJI,27.82,27.82,27.82,27.82,0
1896-06-11,DJI,28.54,28.54,28.54,28.54,0
1896-06-12,DJI,28.47,28.47,28.47,28.47,0
1896-06-15,DJI,28.92,28.92,28.92,28.92,0
1896-06-16,DJI,29.3,29.3,29.3,29.3,0
1896-06-17,DJI,29.36,29.36,29.36,29.36,0
1896-06-18,DJI,28.8,28.8,28.8,28.8,0
1896-06-19,DJI,28.99,28.99,28.99,28.99,0
1896-06-22,DJI,28.05,28.05,28.05,28.05,0
1896-06-23,DJI,27.62,27.62,27.62,27.62,0
1896-06-24,DJI,27.72,27.72,27.72,27.72,0
1896-06-25,DJI,27.5,27.5,27.5,27.5,0
1896-06-26,DJI,27.44,27.44,27.44,27.44,0
1896-06-29,DJI,25.73,25.73,25.73,25.73,0
1896-06-30,DJI,26.18,26.18,26.18,26.18,0
1896-07-01,DJI,25.05,25.05,25.05,25.05,0
1896-07-02,DJI,25.28,25.28,25.28,25.28,0
1896-07-03,DJI,25.16,25.16,25.16,25.16,0
1896-07-06,DJI,25.25,25.25,25.25,25.25,0
1896-07-07,DJI,25.46,25.46,25.46,25.46,0
1896-07-08,DJI,25.49,25.49,25.49,25.49,0
1896-07-09,DJI,25.12,25.12,25.12,25.12,0
1896-07-10,DJI,25.23,25.23,25.23,25.23,0
1896-07-13,DJI,25.12,25.12,25.12,25.12,0
1896-07-14,DJI,24.21,24.21,24.21,24.21,0
1896-07-15,DJI,23.38,23.38,23.38,23.38,0
1896-07-16,DJI,23.14,23.14,23.14,23.14,0
