date,ticker,open,high,low,close,volume
1980-01-04,KOSPI,100.0,100.0,100.0,100.0,0
1980-01-05,KOSPI,100.15,100.15,100.15,100.15,0
1980-01-07,KOSPI,102.53,102.53,102.53,102.53,0
1980-01-08,KOSPI,105.28,105.28,105.28,105.28,0
1980-01-09,KOSPI,106.37,106.37,106.37,106.37,0
1980-01-10,KOSPI,106.87,106.87,106.87,106.87,0
1980-01-11,KOSPI,105.02,105.02,105.02,105.02,0
1980-01-12,KOSPI,103.64,103.64,103.64,103.64,0
1980-01-14,KOSPI,102.08,102.08,102.08,102.08,0
1980-01-15,KOSPI,101.1,101.1,101.1,101.1,0
1980-01-16,KOSPI,101.65,101.65,101.65,101.65,0
1980-01-17,KOSPI,101.97,101.97,101.97,101.97,0
1980-01-18,KOSPI,101.13,101.13,101.13,101.13,0
1980-01-19,KOSPI,101.15,101.15,101.15,101.15,0
1980-01-21,KOSPI,101.75,101.75,101.75,101.75,0
1980-01-22,KOSPI,101.64,101.64,101.64,101.64,0
1980-01-23,KOSPI,101.43,101.43,101.43,101.43,0
1980-01-24,KOSPI,100.7,100.7,100.7,100.7,0
1980-01-25,KOSPI,103.17,103.17,103.17,103.17,0
1980-01-26,KOSPI,102.83,102.83,102.83,102.83,0
1980-01-28,KOSPI,101.87,101.87,101.87,101.87,0
1980-01-29,KOSPI,102.58,102.58,102.58,102.58,0
1980-01-30,KOSPI,104.65,104.65,104.65,104.65,0
1980-01-31,KOSPI,105.89,105.89,105.89,105.89,0
1980-02-01,KOSPI,104.48,104.48,104.48,104.48,0
1980-02-02,KOSPI,105.3,105.3,105.3,105.3,0
1980-02-04,KOSPI,105.0,105.0,105.0,105.0,0
1980-02-05,KOSPI,104.45,104.45,104.45,104.45,0
1980-02-06,KOSPI,104.04,104.04,104.04,104.04,0
1980-02-07,KOSPI,104.71,104.71,104.71,104.71,0
1980-02-08,KOSPI,104.03,104.03,104.03,104.03,0
1980-02-09,KOSPI,103.97,103.97,103.97,103.97,0
1980-02-11,KOSPI,103.76,103.76,103.76,103.76,0
1980-02-12,KOSPI,103.8,103.8,103.8,103.8,0
1980-02-13,KOSPI,104.02,104.02,104.02,104.02,0
1980-02-14,KOSPI,104.34,104.34,104.34,104.34,0
1980-02-15,KOSPI,104.9,104.9,104.9,104.9,0
1980-02-16,KOSPI,106.08,106.08,106.08,106.08,0
1980-02-18,KOSPI,105.27,105.27,105.27,105.27,0
1980-02-19,KOSPI,105.1,105.1,105.1,105.1,0
1980-02-20,KOSPI,105.06,105.06,105.06,105.06,0
1980-02-21,KOSPI,104.61,104.61,104.61,104.61,0
1980-02-22,KOSPI,104.39,104.39,104.39,104.39,0
1980-02-23,KOSPI,104.69,104.69,104.69,104.69,0
1980-02-25,KOSPI,104.32,104.32,104.32,104.32,0
1980-02-26,KOSPI,103.69,103.69,103.69,103.69,0
1980-02-27,KOSPI,103.5,103.5,103.5,103.5,0
1980-02-28,KOSPI,103.46,103.46,103.46,103.46,0
1980-02-29,KOSPI,103.74,103.74,103.74,103.74,0
1980-03-03,KOSPI,103.96,103.96,103.96,103.96,0
1980-03-04,KOSPI,103.85,103.85,103.85,103.85,0
1980-03-05,KOSPI,102.86,102.86,102.86,102.86,0
1980-03-06,KOSPI,102.76,102.76,102.76,102.76,0
1980-03-07,KOSPI,103.57,103.57,103.57,103.57,0
1980-03-08,KOSPI,103.89,103.89,103.89,103.89,0
1980-03-11,KOSPI,103.35,103.35,103.35,103.35,0
1980-03-12,KOSPI,103.13,103.13,103.13,103.13,0
1980-03-13,KOSPI,103.26,103.26,103.26,103.26,0
1980-03-14,KOSPI,103.08,103.08,103.08,103.08,0
1980-03-15,KOSPI,104.16,104.16,104.16,104.16,0
1980-03-17,KOSPI,103.58,103.58,103.58,103.58,0
1980-03-18,KOSPI,103.41,103.41,103.41,103.41,0
1980-03-19,KOSPI,103.13,103.13,103.13,103.13,0
1980-03-20,KOSPI,104.68,104.68,104.68,104.68,0
1980-03-21,KOSPI,104.43,104.43,104.43,104.43,0
1980-03-22,KOSPI,104.58,104.58,104.58,104.58,0
1980-03-24,KOSPI,107.09,107.09,107.09,107.09,0
1980-03-25,KOSPI,106.47,106.47,106.47,106.47,0
1980-03-26,KOSPI,107.22,107.22,107.22,107.22,0
1980-03-27,KOSPI,106.37,106.37,106.37,106.37,0
1980-03-28,KOSPI,105.33,105.33,105.33,105.33,0
1980-03-29,KOSPI,104.9,104.9,104.9,104.9,0
1980-03-31,KOSPI,105.0,105.0,105.0,105.0,0
1980-04-01,KOSPI,105.43,105.43,105.43,105.43,0
1980-04-02,KOSPI,105.74,105.74,105.74,105.74,0
1980-04-03,KOSPI,106.78,106.78,106.78,106.78,0
1980-04-04,KOSPI,107.4,107.4,107.4,107.4,0
1980-04-07,KOSPI,109.43,109.43,109.43,109.43,0
1980-04-08,KOSPI,109.51,109.51,109.51,109.51,0
1980-04-09,KOSPI,110.07,110.07,110.07,110.07,0
1980-04-10,KOSPI,111.14,111.14,111.14,111.14,0
1980-04-11,KOSPI,112.02,112.02,112.02,112.02,0
1980-04-12,KOSPI,111.68,111.68,111.68,111.68,0
1980-04-14,KOSPI,111.54,111.54,111.54,111.54,0
1980-04-15,KOSPI,110.79,110.79,110.79,110.79,0
1980-04-16,KOSPI,110.48,110.48,110.48,110.48,0
1980-04-17,KOSPI,109.89,109.89,109.89,109.89,0
1980-04-18,KOSPI,111.85,111.85,111.85,111.85,0
1980-04-19,KOSPI,114.68,114.68,114.68,114.68,0
1980-04-21,KOSPI,115.99,115.99,115.99,115.99,0
1980-04-22,KOSPI,115.04,115.04,115.04,115.04,0
1980-04-23,KOSPI,117.26,117.26,117.26,117.26,0
1980-04-24,KOSPI,116.89,116.89,116.89,116.89,0
1980-04-25,KOSPI,118.03,118.03,118.03,118.03,0
1980-04-26,KOSPI,118.21,118.21,118.21,118.21,0
1980-04-28,KOSPI,117.34,117.34,117.34,117.34,0
1980-04-29,KOSPI,117.27,117.27,117.27,117.27,0
1980-04-30,KOSPI,116.09,116.09,116.09,116.09,0
1980-05-01,KOSPI,116.54,116.54,116.54,116.54,0
1980-05-02,KOSPI,118.58,118.58,118.58,118.58,0
1980-05-03,KOSPI,118.33,118.33,118.33,118.33,0
1980-05-06,KOSPI,119.3,119.3,119.3,119.3,0
1980-05-07,KOSPI,119.23,119.23,119.23,119.23,0
1980-05-08,KOSPI,119.36,119.36,119.36,119.36,0
1980-05-09,KOSPI,116.42,116.42,116.42,116.42,0
1980-05-10,KOSPI,116.43,116.43,116.43,116.43,0
1980-05-12,KOSPI,115.47,115.47,115.47,115.47,0
1980-05-13,KOSPI,112.85,112.85,112.85,112.85,0
1980-05-14,KOSPI,112.27,112.27,112.27,112.27,0
1980-05-15,KOSPI,114.53,114.53,114.53,114.53,0
1980-05-16,KOSPI,114.91,114.91,114.91,114.91,0
1980-05-17,KOSPI,115.03,115.03,115.03,115.03,0
1980-05-19,KOSPI,111.09,111.09,111.09,111.09,0
1980-05-20,KOSPI,109.47,109.47,109.47,109.47,0
1980-05-22,KOSPI,109.66,109.66,109.66,109.66,0
1980-05-23,KOSPI,112.59,112.59,112.59,112.59,0
1980-05-24,KOSPI,113.84,113.84,113.84,113.84,0
1980-05-26,KOSPI,111.55,111.55,111.55,111.55,0
1980-05-27,KOSPI,113.59,113.59,113.59,113.59,0
1980-05-28,KOSPI,114.19,114.19,114.19,114.19,0
1980-05-29,KOSPI,115.72,115.72,115.72,115.72,0
1980-05-30,KOSPI,115.69,115.69,115.69,115.69,0
1980-05-31,KOSPI,116.43,116.43,116.43,116.43,0
1980-06-02,KOSPI,116.77,116.77,116.77,116.77,0
1980-06-03,KOSPI,116.3,116.3,116.3,116.3,0
1980-06-04,KOSPI,115.43,115.43,115.43,115.43,0
1980-06-05,KOSPI,114.05,114.05,114.05,114.05,0
1980-06-07,KOSPI,113.43,113.43,113.43,113.43,0
1980-06-09,KOSPI,111.98,111.98,111.98,111.98,0
1980-06-10,KOSPI,112.52,112.52,112.52,112.52,0
1980-06-11,KOSPI,112.64,112.64,112.64,112.64,0
1980-06-12,KOSPI,112.11,112.11,112.11,112.11,0
1980-06-13,KOSPI,112.44,112.44,112.44,112.44,0
1980-06-14,KOSPI,112.87,112.87,112.87,112.87,0
1980-06-16,KOSPI,113.11,113.11,113.11,113.11,0
1980-06-17,KOSPI,115.09,115.09,115.09,115.09,0
1980-06-18,KOSPI,114.44,114.44,114.44,114.44,0
1980-06-19,KOSPI,113.26,113.26,113.26,113.26,0
1980-06-20,KOSPI,113.49,113.49,113.49,113.49,0
1980-06-21,KOSPI,112.77,112.77,112.77,112.77,0
1980-06-23,KOSPI,112.53,112.53,112.53,112.53,0
1980-06-24,KOSPI,112.46,112.46,112.46,112.46,0
1980-06-25,KOSPI,111.78,111.78,111.78,111.78,0
1980-06-26,KOSPI,111.65,111.65,111.65,111.65,0
1980-06-27,KOSPI,111.89,111.89,111.89,111.89,0
1980-06-28,KOSPI,113.12,113.12,113.12,113.12,0
1980-06-30,KOSPI,112.62,112.62,112.62,112.62,0
1980-07-01,KOSPI,112.05,112.05,112.05,112.05,0
1980-07-02,KOSPI,112.44,112.44,112.44,112.44,0
1980-07-03,KOSPI,112.33,112.33,112.33,112.33,0
1980-07-04,KOSPI,112.42,112.42,112.42,112.42,0
1980-07-05,KOSPI,111.92,111.92,111.92,111.92,0
1980-07-07,KOSPI,112.48,112.48,112.48,112.48,0
1980-07-08,KOSPI,112.09,112.09,112.09,112.09,0
